"TF" "target" "importance"
"97202" "Creb1" "Ism1" 6.28540418055136
"108887" "Creb1" "Atp6v1c2" 5.70314632387666
"119819" "Creb1" "Ccnd2" 5.24316366413169
"137191" "Creb1" "Ccdc39" 4.63701477212066
"144865" "Creb1" "Stc1" 4.41273166476237
"156520" "Creb1" "Mgat3" 4.10653054839186
"159587" "Creb1" "RP23.134H19.3" 4.02959965813411
"165428" "Creb1" "Gmcl1" 3.89269243948028
"165707" "Creb1" "Pik3r2" 3.88636167503789
"166241" "Creb1" "Utp20" 3.87456369236223
"170979" "Creb1" "Gm37376" 3.77063911065424
"175913" "Creb1" "Asic1" 3.66669898894588
"180236" "Creb1" "Usp45" 3.58212284356226
"181467" "Creb1" "Hspbap1" 3.55710200402354
"183650" "Creb1" "Mtrr" 3.51450780200829
"187930" "Creb1" "Brd7" 3.43618453681531
"189293" "Creb1" "Plekha8" 3.41312708780435
"191967" "Creb1" "Stk3" 3.36651841191964
"191985" "Creb1" "Strada" 3.36633160563676
"196618" "Creb1" "Fam199x" 3.28826141989508
"198538" "Creb1" "X2700049A03Rik" 3.2569701187917
"204132" "Creb1" "Vps33b" 3.16656994446015
"210377" "Creb1" "Fastkd1" 3.07240492484901
"210844" "Creb1" "Rarb" 3.06607549115621
"213022" "Creb1" "Snrk" 3.0346744789766
"217272" "Creb1" "Nms" 2.97439800685866
"218227" "Creb1" "Fsd1l" 2.96151584870324
"219302" "Creb1" "Tppp" 2.94702455165906
"226222" "Creb1" "Sik2" 2.85455813208937
"227661" "Creb1" "Ppp1r9a" 2.83599150052354
"236501" "Creb1" "Tmem74" 2.72631302694131
"245056" "Creb1" "Rtel1" 2.62742716813344
"245071" "Creb1" "X3222401L13Rik" 2.62730637584326
"245833" "Creb1" "Npy5r" 2.61876361671004
"251736" "Creb1" "Hcrtr2" 2.55624816284294
"253754" "Creb1" "Fut8" 2.53509827987029
"256936" "Creb1" "Mafg" 2.5011727290178
"258675" "Creb1" "Kcnh5" 2.48341888858306
"261826" "Creb1" "Zdhhc6" 2.45101416481648
"262397" "Creb1" "Mllt10" 2.44552038204241
"262531" "Creb1" "X2700081O15Rik" 2.44397240039056
"263254" "Creb1" "C2cd5" 2.43640438802369
"265981" "Creb1" "Gm608" 2.41027955143421
"266430" "Creb1" "Osbpl6" 2.40584291691883
"274581" "Creb1" "Zkscan2" 2.32961659971544
"275215" "Creb1" "Slmap" 2.32387347725865
"275749" "Creb1" "Zscan26" 2.31912423086722
"275892" "Creb1" "Kbtbd7" 2.31771207825041
"282259" "Creb1" "Tacr3" 2.26150246143573
"286709" "Creb1" "Msh3" 2.22396300441489
"290006" "Creb1" "Cpsf4" 2.19715039044105
"292324" "Creb1" "Eif2ak3" 2.1793221062258
"293250" "Creb1" "Inhbb" 2.17209278300295
"294784" "Creb1" "Ino80" 2.15989900629619
"295100" "Creb1" "Rfwd2" 2.15767324188783
"299827" "Creb1" "Ptpn21" 2.12104697430011
"306809" "Creb1" "X9130017K11Rik" 2.06956006620264
"309554" "Creb1" "Shank1" 2.04893450651157
"310693" "Creb1" "Adgre4" 2.04081284441659
"313000" "Creb1" "X1700025G04Rik" 2.02442019519174
"316630" "Creb1" "Smarcal1" 1.99923938647646
"318653" "Creb1" "X2210404O09Rik" 1.98551885548201
"322835" "Creb1" "Cep83os" 1.95728496657877
"324075" "Creb1" "Crhbp" 1.94896962749322
"326303" "Creb1" "Arhgap35" 1.93438927267127
"327804" "Creb1" "Map4k3" 1.92451007350508
"332838" "Creb1" "Srebf2" 1.8918118859946
"334255" "Creb1" "Pbrm1" 1.88290825938464
"339430" "Creb1" "Gtdc1" 1.85133131522531
"343550" "Creb1" "Fbxo2" 1.82672023887285
"348741" "Creb1" "Vps52" 1.79577971175332
"360186" "Creb1" "Naa40" 1.73199463988566
"360697" "Creb1" "Tars" 1.72919326470337
"368522" "Creb1" "Ivns1abp" 1.68772708324472
"370434" "Creb1" "Rhox5" 1.67801083909374
"378878" "Creb1" "Gm13205" 1.63501112721142
"379727" "Creb1" "Gab2" 1.6308847327321
"384561" "Creb1" "Trim11" 1.60815017830944
"386722" "Creb1" "Chrne" 1.59806240179333
"386770" "Creb1" "Dbi" 1.59785161806867
"390008" "Creb1" "Lrrc4c" 1.58304175691951
"393794" "Creb1" "Nnat" 1.56603911766556
"397810" "Creb1" "A630001G21Rik" 1.54800574148965
"401663" "Creb1" "Rock1" 1.53125091085074
